date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:13:34	44700/44700	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:13%20GMT	https://sacred-texts.com/isl/kumayl/kum.htm	C:/DK-SITES/islam/sacred-texts.com/isl/kumayl/kum.html	(from https://sacred-texts.com/isl/shi.htm)
16:13:35	110263/110263	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:13%20GMT	https://sacred-texts.com/isl/mub/mub.htm	C:/DK-SITES/islam/sacred-texts.com/isl/mub/mub.html	(from https://sacred-texts.com/isl/shi.htm)
16:13:36	5760/5760	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:12%20GMT	https://sacred-texts.com/isl/hus/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/hus/index.html	(from https://sacred-texts.com/isl/shi.htm)
16:13:37	44722/44722	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:12%20GMT	https://sacred-texts.com/isl/hmz/hmz.htm	C:/DK-SITES/islam/sacred-texts.com/isl/hmz/hmz.html	(from https://sacred-texts.com/isl/shi.htm)
16:13:37	17695/17695	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:18%20GMT	https://sacred-texts.com/isl/sal/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/sal/index.html	(from https://sacred-texts.com/isl/shi.htm)
16:13:38	6735/6735	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:44:59%20GMT	https://sacred-texts.com/isl/adg/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/adg/index.html	(from https://sacred-texts.com/isl/shi.htm)
16:13:39	38692/38692	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:19%20GMT	https://sacred-texts.com/isl/sbe09/sbe0901.htm	C:/DK-SITES/islam/sacred-texts.com/isl/sbe09/sbe0901.html	(from https://sacred-texts.com/isl/shi.htm)
16:13:39	7457/7457	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:11%20GMT	https://sacred-texts.com/isl/gbar/gbar000.htm	C:/DK-SITES/islam/sacred-texts.com/isl/gbar/gbar000.html	(from https://sacred-texts.com/isl/etc/index.htm)
16:13:40	227/227	---MCZ	200	added ('OK')	text/css	etag:W/%22074c403eeb3a6f24fa1949eb28f28e3c%22	https://sacred-texts.com/css/marg.css	C:/DK-SITES/islam/sacred-texts.com/css/marg.css	(from https://sacred-texts.com/isl/htq/index.htm)
16:13:40	24765/24765	---M--	200	added ('OK')	image/jpeg	etag:%22db318dee9c7ffd40d7d9c2b292014079%22	https://sacred-texts.com/cdshop/cdinfo.jpg	C:/DK-SITES/islam/sacred-texts.com/cdshop/cdinfo.jpg	(from https://sacred-texts.com/isl/htq/index.htm)
16:13:41	8861/8861	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:19%20GMT	https://sacred-texts.com/isl/uq/001.htm	C:/DK-SITES/islam/sacred-texts.com/isl/uq/001.html	(from https://sacred-texts.com/isl/htq/index.htm)
16:13:41	8935/8935	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:15%20GMT	https://sacred-texts.com/isl/quran/00101.htm	C:/DK-SITES/islam/sacred-texts.com/isl/quran/00101.html	(from https://sacred-texts.com/isl/htq/index.htm)
16:13:42	7907/7907	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:20%20GMT	https://sacred-texts.com/isl/yaq/yaq001.htm	C:/DK-SITES/islam/sacred-texts.com/isl/yaq/yaq001.html	(from https://sacred-texts.com/isl/htq/index.htm)
16:13:42	7627/7627	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:14%20GMT	https://sacred-texts.com/isl/pick/001.htm	C:/DK-SITES/islam/sacred-texts.com/isl/pick/001.html	(from https://sacred-texts.com/isl/htq/index.htm)
16:13:42	7449/7449	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:18%20GMT	https://sacred-texts.com/isl/sbe06/001.htm	C:/DK-SITES/islam/sacred-texts.com/isl/sbe06/001.html	(from https://sacred-texts.com/isl/htq/index.htm)
16:13:43	9345/9345	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:15%20GMT	https://sacred-texts.com/isl/qr/001.htm	C:/DK-SITES/islam/sacred-texts.com/isl/qr/001.html	(from https://sacred-texts.com/isl/htq/index.htm)
16:13:44	9470/9470	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:15%20GMT	https://sacred-texts.com/isl/quran/00201.htm	C:/DK-SITES/islam/sacred-texts.com/isl/quran/00201.html	(from https://sacred-texts.com/isl/htq/index.htm)
16:13:45	233997/233997	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:19%20GMT	https://sacred-texts.com/isl/uq/002.htm	C:/DK-SITES/islam/sacred-texts.com/isl/uq/002.html	(from https://sacred-texts.com/isl/htq/index.htm)
16:13:45	97114/97114	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:20%20GMT	https://sacred-texts.com/isl/yaq/yaq002.htm	C:/DK-SITES/islam/sacred-texts.com/isl/yaq/yaq002.html	(from https://sacred-texts.com/isl/htq/index.htm)
16:13:46	84736/84736	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:14%20GMT	https://sacred-texts.com/isl/pick/002.htm	C:/DK-SITES/islam/sacred-texts.com/isl/pick/002.html	(from https://sacred-texts.com/isl/htq/index.htm)
16:13:46	98338/98338	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:18%20GMT	https://sacred-texts.com/isl/sbe06/002.htm	C:/DK-SITES/islam/sacred-texts.com/isl/sbe06/002.html	(from https://sacred-texts.com/isl/htq/index.htm)
16:13:48	104402/104402	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:15%20GMT	https://sacred-texts.com/isl/qr/002.htm	C:/DK-SITES/islam/sacred-texts.com/isl/qr/002.html	(from https://sacred-texts.com/isl/htq/index.htm)
16:13:49	11762/11762	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:15%20GMT	https://sacred-texts.com/isl/quran/00301.htm	C:/DK-SITES/islam/sacred-texts.com/isl/quran/00301.html	(from https://sacred-texts.com/isl/htq/index.htm)
